"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","e4rVHe"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/APR+POWER+TOOLS+INDONESIA/data=!4m7!3m6!1s0x2e69f90065a78547:0x9c705a24298d3eb3!8m2!3d-6.1540441!4d106.6909891!16s%2Fg%2F11vm4xysd2!19sChIJR4WnZQD5aS4Rsz6NKSRacJw?authuser=0&hl=zh-CN&rclk=1","APR POWER TOOLS INDONESIA","4.0","(6)","家电商场","·","DM.8, Jl. Green Sedayu Biz Park No.27","即将打烊","：16:30 ⋅ 下次开门时间：周二08:30","·","0899-0905-002","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png","","","",""
"https://www.google.com/maps/place/Doliz+Indonesia/data=!4m7!3m6!1s0x2e69f5e286bf4215:0x358d1ec3825bf284!8m2!3d-6.1471796!4d106.8185432!16s%2Fg%2F11fqkrnp_x!19sChIJFUK_huL1aS4RhPJbgsMejTU?authuser=0&hl=zh-CN&rclk=1","Doliz Indonesia","2.8","(10)","工具商店","·","Jl. Mangga Besar 1 No.50, RT.3/RW.6","即将打烊","：17:00 ⋅ 下次开门时间：周二08:00","·","(021) 6256060","https://lh5.googleusercontent.com/p/AF1QipMoHD-g2OsIzgRuDjhBaEtAP9GNsthzQZK1OpG5=w80-h106-k-no","门店自提","·","送货",""
"https://www.google.com/maps/place/SNAP-ON,+BLUE-POINT,+STANLEY,+DEWALT,+BRITOOL,+KNIPEX,+RENNSTEIG,+KARCHER,+SWIPE-ALL/data=!4m7!3m6!1s0x2e69fbc7939770e7:0x7afe9f5d0a8308e!8m2!3d-6.2897099!4d106.6640588!16s%2Fg%2F11rhnny0tx!19sChIJ53CXk8f7aS4RjjCo0PXprwc?authuser=0&hl=zh-CN&rclk=1","SNAP-ON, BLUE-POINT, STANLEY, DEWALT, BRITOOL, KNIPEX, RENNSTEIG, KARCHER, SWIPE-ALL","5.0","(4)","家电商场","·","Golden Road, Blok C28, No. 10, ITC BSD City","营业中","⋅ 18:00 结束营业","·","0811-882-177","https://lh5.googleusercontent.com/p/AF1QipP_2PJtYxXc6C6SFPt3s0DhaE8-ScuVYa-Q-Wah=w81-h92-k-no","店内购买","·","门店自提",""
"https://www.google.com/maps/place/gudangpowertools/data=!4m7!3m6!1s0x2e69f700357f2ac5:0xec1711281d7902c1!8m2!3d-6.144549!4d106.8159498!16s%2Fg%2F11vs3kj8j0!19sChIJxSp_NQD3aS4RwQJ5HSgRF-w?authuser=0&hl=zh-CN&rclk=1","gudangpowertools","","","五金店","·","Ps. Hwi-lindeteves Pusat Sarana Teknik","","","","0811-1001-4305","https://lh5.googleusercontent.com/p/AF1QipMYCO_8_Jzc2FU14DwTnqp167xQoVHOJiPKIfGV=w80-h106-k-no","送货","","","无评价"
"https://www.google.com/maps/place/The+Power+Tools/data=!4m7!3m6!1s0x2e6a1f7e422c0f2b:0xc404151819307e97!8m2!3d-6.1347189!4d106.8385633!16s%2Fg%2F11vq4b63y1!19sChIJKw8sQn4fai4Rl34wGRgVBMQ?authuser=0&hl=zh-CN&rclk=1","The Power Tools","","","家电商场","·","patokan belakang kantor rw 15 Rumah, Jl. Budi Mulia Blk. C No.41B","即将打烊","：17:00 ⋅ 下次开门时间：周二07:00","·","0821-2722-1357","https://lh5.googleusercontent.com/p/AF1QipO_M2JLtXm-EXV6AkEZ0QJhFM-kzUQKkw2FlQ9Q=w92-h92-k-no","店内购买","·","门店自提","无评价"
"https://www.google.com/maps/place/Power+Tools+Makita/data=!4m7!3m6!1s0x31d9898b2c040415:0x36da5348e9b0fedc!8m2!3d1.1162567!4d104.0479017!16s%2Fg%2F11stj7db98!19sChIJFQQELIuJ2TER3P6w6UhT2jY?authuser=0&hl=zh-CN&rclk=1","Power Tools Makita","5.0","(5)","家电商场","·","Industrial Estate Batam Centre","已打烊","⋅ 下次开门时间：周二08:00","·","0821-7136-3020","https://lh5.googleusercontent.com/p/AF1QipP7dKRUI_MAHaai-JQ6_S8XnTDWGe5rivyLBsfS=w80-h106-k-no","门店自提","·","送货",""
"https://www.google.com/maps/place/SAHABAT+TEKNIK+INDONESIA/data=!4m7!3m6!1s0x2e69f59127d3c19f:0x76bd33124b2890f2!8m2!3d-6.1439132!4d106.8155124!16s%2Fg%2F11fwk050b7!19sChIJn8HTJ5H1aS4R8pAoSxIzvXY?authuser=0&hl=zh-CN&rclk=1","SAHABAT TEKNIK INDONESIA","4.2","(5)","工具商店","·","Jl. Hayam Wuruk No.2-5, RT.1/RW.6, Mangga Besar, Kec. Taman Sari Gedung Harco Glodok, Lantai 1 Blok.D56-58","营业中","⋅ 17:30 结束营业","·","0813-8788-7741","https://lh5.googleusercontent.com/p/AF1QipN9b_N2SF2FIQrTBMrJbhXeL4Xm9wcQG0lOhxWA=w92-h92-k-no","门店自提","·","送货",""
"https://www.google.com/maps/place/Bosch+Power+Tool/data=!4m7!3m6!1s0x2dd7e52e4a8c8073:0xe9d537c63b8b23ae!8m2!3d-7.3532978!4d112.7733042!16s%2Fg%2F11bc7smf_p!19sChIJc4CMSi7l1y0RriOLO8Y31ek?authuser=0&hl=zh-CN&rclk=1","Bosch Power Tool","","","工具商店","·","Jl. Ikan Sura No.21","即将打烊","：17:00 ⋅ 下次开门时间：周二08:00","·","(031) 60122222","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s4rkmTUIs85TVp9RTk1ctQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=358.59848&pitch=0&thumbfov=100","送货","","","无评价"
